City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,santiago de cao,-7.9589,-79.2392,20.07,83,40,5.66,PE,1698440852
274,klyuchi,52.2667,79.1667,-1.85,53,6,2.92,RU,1698440846
275,brookhaven,31.5791,-90.4407,29.81,46,83,1.1,US,1698440578
276,tadine,-21.55,167.8833,23.54,91,99,5.7,NC,1698440853
277,chissamba,-12.1667,17.3333,18.82,74,48,1.68,AO,1698440853
278,north bay,46.3168,-79.4663,17.19,99,100,5.24,CA,1698440853
279,gaiman,-43.2897,-65.4929,23.68,19,67,17.17,AR,1698440853
280,marshall,34.3834,-86.3333,27.4,57,75,0.89,US,1698440854
281,shimoda,34.6667,138.95,12.84,69,90,4.57,JP,1698440854
282,mahina,-17.5065,-149.489,23.87,88,75,2.06,PF,1698440854
283,mandan,46.8267,-100.8896,-5.91,77,0,8.23,US,1698440765
284,bayanhongor,46.7167,100.1167,-0.94,39,5,0.51,MN,1698440854
285,cova figueira,14.8905,-24.2934,25.16,72,93,5.36,CV,1698440855
286,carnarvon,-24.8667,113.6333,20.16,65,40,10.46,AU,1698440855
287,fort st. john,56.2499,-120.8529,-5.06,74,40,2.57,CA,1698440770
288,newman,37.3138,-121.0208,21.24,35,83,0.89,US,1698440855
289,hadyach,50.3711,33.991,12.73,77,100,5.02,UA,1698440855
290,konstantinovskoye,45.2992,42.6367,15.32,74,93,2.16,RU,1698440855
291,ancud,-41.8697,-73.8203,11.11,78,65,7.72,CL,1698440856
292,alesund,62.4723,6.1549,3.2,78,0,5.66,NO,1698440856
293,itoman,26.1247,127.6694,23.01,67,75,4.63,JP,1698440856
294,constantia,44.1833,28.65,19.38,64,100,6.83,RO,1698440856
295,kruisfontein,-34.0033,24.7314,14.4,89,100,5.38,ZA,1698440856
296,saldanha,-33.0117,17.9442,14.64,77,0,9.82,ZA,1698440857
297,chuguyevka,44.1653,133.8633,-0.92,69,61,0.48,RU,1698440857
298,noumea,-22.2763,166.4572,25.0,99,99,4.8,NC,1698440829
299,kot diji,27.3427,68.7083,24.01,21,93,1.29,PK,1698440857
300,kittila,67.6647,24.8936,-2.92,93,100,1.54,FI,1698440857
301,ain sukhna,29.6002,32.3167,25.12,58,51,0.34,EG,1698440858
302,bodo,67.28,14.405,2.65,85,75,4.12,NO,1698440858
303,oke ila,7.951,4.9883,22.78,83,23,1.53,NG,1698440858
304,dunedin,-45.8742,170.5036,10.45,61,84,8.05,NZ,1698440858
305,belyy yar,53.6039,91.3903,-3.06,59,0,4.0,RU,1698440858
306,de aar,-30.6497,24.0123,20.07,38,100,5.59,ZA,1698440858
307,nong chik,6.8436,101.178,25.08,87,17,1.38,TH,1698440859
308,iskateley,67.6803,53.1512,-14.43,96,6,2.24,RU,1698440859
309,la foa,-21.7108,165.8276,24.32,80,98,2.78,NC,1698440859
310,evanston,42.0411,-87.6901,22.2,76,75,6.69,US,1698440859
311,chrysoupolis,40.9856,24.6939,20.49,79,100,1.34,GR,1698440860
